| Item Code | Item Name | Qty Owned | Average Cost | Sales Price |
| ------------ | -------------------------------------------- | --------- | ------------ | ----------- |
| GRIPS | LI NING GP 20 | 1,403 | 220.80 | 500.00 |
| GRIPS | LI NING GP 16/17/18/19 | 788 | 461.60 | 700.00 |
| GRIPS | LI NING GP 24 | 457 | 160.43 | 500.00 |
| STRINGS | HUNDRED 700S/600S | 202 | 343.03 | 1,000.00 |
| STRINGS | MAXBOLT STRING MBS 66 | 182 | 720.57 | 1,800.00 |
| STRINGS | YONEX BG 65 WHITE | 136 | 1,199.37 | - |
| STRINGS | GOSEN RY 58/65 | 131 | 1,581.78 | 2,000.00 |
| STRINGS | MAXBOLT MBS 6+ | 106 | 503.20 | 1,600.00 |
| STRINGS | MAXBOLT MBS 66 WHITE | 77 | 720.00 | - |
| SOCKS | MAXBOLT JUNIOR SOCKS | 74 | 576.00 | 800.00 |
| STRINGS | YONEX BG 66 ULTIMAX METTALIC WHITE | 70 | 1,910.00 | - |
| STRINGS | MAXBOLT MBS 66 RED | 66 | 720.00 | - |
| STRINGS | YONEX BG 66 ULTIMAX RED | 56 | 1,910.00 | - |
| SOCKS | YONEX 3 PACK SOCKS | 55 | 1,525.91 | 2,500.00 |
| SHUTTLECOCKS | MAVIS 600 | 54 | 3,849.03 | 3,950.00 |
| STRINGS | KONEX STRINGS | 48 | 235.30 | 1,000.00 |
| STRINGS | YONEX BG 65 ROYAL BLUE | 47 | 1,010.90 | - |
| STRINGS | YONEX BG 65 YELLOW | 44 | 1,069.08 | - |
| STRINGS | YONEX BG 65 TITANIUM SINGLE | 42 | 1,045.45 | 2,500.00 |
| STRINGS | YONEX BG 65 SINGLE | 38 | 1,045.45 | 2,000.00 |
| RACKETS | YONEX GR 303 | 37 | 1,456.60 | 2,000.00 |
| RACKETS | YONEX ASTROX LITE 43i | 36 | 5,254.93 | - |
| SOCKS | MAXBOLT SOCKS | 36 | 570.87 | 1,000.00 |
| SOCKS | LI NING SOCKS (AWLS) | 35 | 950.00 | - |
| STRINGS | MAXBOLT MBS 63 | 35 | 667.21 | 1,800.00 |
| STRINGS | YONEX BG 65 BLACK | 35 | 870.05 | - |
| STRINGS | YONEX BG 80 POWER | 34 | 1,847.78 | 3,000.00 |
| WRISTBAND | YONEX WRIST BAND | 34 | 631.52 | 1,300.00 |
| STRINGS | YONEX BG 65 VIOLET | 31 | 1,337.00 | - |
| STRINGS | YONEX BG 65 RED | 30 | 790.00 | - |
| STRINGS | YONEX BG 65 GREEN | 29 | 790.00 | - |
| STRINGS | YONEX BG 65 LAVENDER | 24 | 1,337.00 | - |
| OTHERS | DUNLOP SQUASH BALLS | 23 | 775.00 | 950.00 |
| RACKETS | YONEX NANORAY 72 LIte / HL | 20 | 4,500.00 | - |
| RACKETS | YONEX VOLTRIC LITE 40i | 20 | 5,050.00 | - |
| STRINGS | BABOLAT RPM BLAST BLACK SINGLE | 20 | 1,900.00 | - |
| STRINGS | GOSEN POLYON WHITE SINGLE | 20 | 500.00 | - |
| STRINGS | SOLINCO HYPER G GREEN SINGLE | 20 | 1,650.00 | - |
| OTHER | YONEX WATER BOTTLE | 19 | 2,800.00 | - |
| SHUTTLE | LIN MEI 10 | 16 | 5,200.00 | 5,500.00 |
| STRINGS | LI NING N 70 SINGLE | 16 | 950.00 | 2,000.00 |
| RACKETS | YONEX VOLTRIC LITE 47i | 15 | 5,503.07 | - |
| STRINGS | LI NING NO 1 BOOST | 15 | 1,745.00 | - |
| SOCKS | LI NING SOCKS (AWST) | 14 | 1,150.00 | - |
| STRINGS | LI NING NO 1 | 14 | 1,600.00 | 2,500.00 |
| STRINGS | YONEX BG 65 TURQUOISE | 14 | 1,337.00 | - |
| RACKETS | MAXBOLT RACKET COVER | 13 | 300.00 | 500.00 |
| OTHER | SHUTTLE KEY TAG | 12 | 100.00 | 500.00 |
| RACKETS | MAXBOLT SUPERSTAR 11 | 12 | 9,912.92 | 13,500.00 |
| RACKETS | YONEX ASTROX ATTACK 9 | 12 | 5,500.00 | 7,000.00 |
| STRINGS | YONEX BG 65 ORANGE | 12 | 926.75 | - |
| GRIPS | SPACESHIP OVER GRIP | 11 | 110.07 | 400.00 |
| RACKETS | MAXBOLT NEZER / HH | 11 | 5,821.52 | 8,500.00 |
| SOCKS | LI NING 3 PACK SOCKS | 11 | 1,605.15 | 2,500.00 |
| STRINGS | GOSEN RY 65/58 SINGLE | 11 | 1,050.00 | 2,000.00 |
| BAGS | LI NING BAG ABDU313 BLUE | 10 | 11,000.00 | - |
| BAGS | YONEX BASIC KITBAG NAVY BLUE CYBER LIME | 10 | 3,094.70 | - |
| GRIPS | LI NING TOWEL GRIP (S) | 10 | 450.00 | 600.00 |
| OTHER | LI NING MASK | 10 | 30.00 | 50.00 |
| RACKETS | YONEX ASTROX LITE 45i | 10 | 5,501.69 | - |
| SOCKS | HUNDRED SOCKS | 10 | 750.00 | 1,500.00 |
| RACKETS | MAXBOLT EXTREME 8 / EB | 9 | 5,088.00 | 9,000.00 |
| RACKETS | MAXBOLT NEW TENO 12 | 9 | 5,050.00 | 9,000.00 |
| STRINGS | LI NING NO 5 | 9 | 1,292.31 | 2,000.00 |
| OTHER | HUNDRED INSOLE | 8 | 1,215.00 | 2,000.00 |
| RACKETS | MAXBOLT BLUEFLARE (MYS) / EB | 8 | 5,015.46 | 8,000.00 |
| RACKETS | MAXBOLT GALLANT TOUR / HH | 8 | 9,857.23 | 14,500.00 |
| GRIPS | YONEX TOWEL GRIPS | 7 | 500.00 | 700.00 |
| OTHER | YONEX KEY TAG | 7 | 500.00 | 500.00 |
| SHOES | HUNDRED RAZE PRO UK-6 BLACK/ORANGE | 7 | 5,785.71 | - |
| STRINGS | YONEX EXBOLT 68 | 7 | 2,555.55 | 3,500.00 |
| BAGS | YONEX BASIC KITBAG RED BLACK | 6 | 3,473.50 | - |
| OTHER | LI NING WATER BOTTLE | 6 | 3,550.00 | 3,000.00 |
| RACKETS | EXERGY RACKET | 6 | 4,029.08 | 6,000.00 |
| RACKETS | YONEX NANOFLARE 700 PLAY | 6 | 10,250.00 | 17,500.00 |
| RACKETS | YONEX NANORAY LIte / HL | 6 | 5,884.62 | 9,000.00 |
| RACKETS | YONEX VOLTRIC LITE 35i | 6 | 5,511.50 | - |
| SHOES | HUNDRED RAZE PRO UK-1 BLACK/ORANGE | 6 | 5,800.00 | - |
| SHOES | HUNDRED RAZE PRO UK-10 BLACK/ORANGE | 6 | 5,800.00 | - |
| STRINGS | MAXBOLT MBS 66 TWO TONE (RED/BLACK) | 6 | 720.00 | - |
| WRISTBAND | Li Ning WRIST BAND | 6 | 770.19 | 1,300.00 |
| BAGS | LI NING 2 ZIPPER BLUE/GREEN - ABDT403 | 5 | 4,000.00 | - |
| BAGS | YONEX BASIC KITBAG ROYAL BLUE BLACK | 5 | 3,378.80 | - |
| OTHER | IODEX RAPID SPRAY | 5 | 1,020.00 | - |
| RACKETS | HUNDRED SET RACKETS | 5 | 2,500.00 | 4,000.00 |
| RACKETS | MAXBOLT ASSASIN / HH | 5 | 5,110.00 | 9,000.00 |
| RACKETS | MAXBOLT BLADE | 5 | 6,607.33 | 10,000.00 |
| RACKETS | MAXBOLT SUPERSTAR LT / HH | 5 | 8,000.00 | 10,000.00 |
| RACKETS | MAXBOLT SUPERSTAR SWIFT | 5 | 5,795.00 | 10,000.00 |
| RACKETS | YONEX ASTROX 1DG / HH | 5 | 10,500.00 | 15,000.00 |
| RACKETS | YONEX ASTROX 7DG / HH | 5 | 14,500.00 | 19,000.00 |
| SHOES | HUNDRED RAZE PRO UK-7 BLACK/ORANGE | 5 | 5,500.00 | - |
| SHOES | HUNDRED RAZE PRO UK-8 BLACK/ORANGE | 5 | 5,500.00 | - |
| SHOES | HUNDRED RAZE UK-8 BLUE | 5 | 6,150.00 | - |
| SHOES | PUKS DRIVE X UK-5 LIGHT BLUE | 5 | 3,200.00 | - |
